"dataset","transformation","host_variable","Variable.Description","otu","estimate","direction","rank_within_direction","Phylum","raw_genus_label","annotation_label_clean"
"demoWAS","none","RIDAGEYR","Best age in years of the sample person at time of HH screening. Individual","RSV_genus1307",-1.99457262549662e-05,"negative",13,"Spirochaetae","Treponema_2","Treponema"
"demoWAS","none","RIDAGEYR","Best age in years of the sample person at time of HH screening. Individual","RSV_genus993",-1.8587610201215e-05,"negative",14,"Proteobacteria","Lautropia","Lautropia"
"demoWAS","none","RIDAGEYR","Best age in years of the sample person at time of HH screening. Individual","RSV_genus261",-1.1907510634496e-05,"negative",15,"Bacteroidetes","Prevotella_2","Prevotella"
"demoWAS","none","AGE_SQUARED","Age squared (RIDAGEYR²)","RSV_genus135",1.07223275701864e-05,"positive",1,"Actinobacteria","Rothia","Rothia"
"demoWAS","none","AGE_SQUARED","Age squared (RIDAGEYR²)","RSV_genus1063",1.2816142072112e-06,"positive",2,"Proteobacteria","Neisseria","Neisseria"
"demoWAS","none","AGE_SQUARED","Age squared (RIDAGEYR²)","RSV_genus746",1.21749520754102e-06,"positive",3,"Fusobacteria","Leptotrichia","Leptotrichia"
"demoWAS","none","AGE_SQUARED","Age squared (RIDAGEYR²)","RSV_genus519",1.18347816583646e-06,"positive",4,"Firmicutes","Lactobacillus","Lactobacillus"
"demoWAS","none","AGE_SQUARED","Age squared (RIDAGEYR²)","RSV_genus262",7.09642766662102e-07,"positive",5,"Bacteroidetes","Prevotella_6","Prevotella"
"demoWAS","none","AGE_SQUARED","Age squared (RIDAGEYR²)","RSV_genus631",3.30722635863779e-07,"positive",6,"Firmicutes","Stomatobaculum","Stomatobaculum"
"demoWAS","none","AGE_SQUARED","Age squared (RIDAGEYR²)","RSV_genus319",2.78576914384962e-07,"positive",7,"Bacteroidetes","Capnocytophaga","Capnocytophaga"
"demoWAS","none","AGE_SQUARED","Age squared (RIDAGEYR²)","RSV_genus45",1.69933827642047e-07,"positive",8,"Actinobacteria","Bifidobacterium","Bifidobacterium"
"demoWAS","none","AGE_SQUARED","Age squared (RIDAGEYR²)","RSV_genus44",1.22432694177434e-07,"positive",9,"Actinobacteria","Alloscardovia","Alloscardovia"
"demoWAS","none","AGE_SQUARED","Age squared (RIDAGEYR²)","RSV_genus580",1.21046154754935e-07,"positive",10,"Firmicutes","Mogibacterium","Mogibacterium"
"demoWAS","none","AGE_SQUARED","Age squared (RIDAGEYR²)","RSV_genus49",3.22757078563322e-08,"positive",11,"Actinobacteria","Parascardovia","Parascardovia"
"demoWAS","none","AGE_SQUARED","Age squared (RIDAGEYR²)","RSV_genus233",6.88091327839631e-09,"positive",12,"Bacteroidetes","Phocaeicola","Phocaeicola"
"demoWAS","none","AGE_SQUARED","Age squared (RIDAGEYR²)","RSV_genus256",-3.28557291069666e-06,"negative",1,"Bacteroidetes","Alloprevotella","Alloprevotella"
"demoWAS","none","AGE_SQUARED","Age squared (RIDAGEYR²)","RSV_genus475",-2.69242962991162e-06,"negative",2,"Firmicutes","Gemella","Gemella"
"demoWAS","none","AGE_SQUARED","Age squared (RIDAGEYR²)","RSV_genus1233",-2.65679042614079e-06,"negative",3,"Proteobacteria","Haemophilus","Haemophilus"
"demoWAS","none","AGE_SQUARED","Age squared (RIDAGEYR²)","RSV_genus318",-1.91764000710091e-06,"negative",4,"Bacteroidetes","Bergeyella","Bergeyella"
"demoWAS","none","AGE_SQUARED","Age squared (RIDAGEYR²)","RSV_genus511",-1.23146127797711e-06,"negative",5,"Firmicutes","Granulicatella","Granulicatella"
"demoWAS","none","AGE_SQUARED","Age squared (RIDAGEYR²)","RSV_genus259",-1.21682793739478e-06,"negative",6,"Bacteroidetes","Prevotella","Prevotella"
"demoWAS","none","AGE_SQUARED","Age squared (RIDAGEYR²)","RSV_genus1228",-9.97949891719638e-07,"negative",7,"Proteobacteria","Actinobacillus","Actinobacillus"
"demoWAS","none","AGE_SQUARED","Age squared (RIDAGEYR²)","RSV_genus253",-8.71590779166323e-07,"negative",8,"Bacteroidetes","Porphyromonas","Porphyromonas"
"demoWAS","none","AGE_SQUARED","Age squared (RIDAGEYR²)","RSV_genus1307",-4.00765373141024e-07,"negative",9,"Spirochaetae","Treponema_2","Treponema"
"demoWAS","none","AGE_SQUARED","Age squared (RIDAGEYR²)","RSV_genus52",-3.08844846511516e-07,"negative",10,"Actinobacteria","Corynebacterium","Corynebacterium"
"demoWAS","none","AGE_SQUARED","Age squared (RIDAGEYR²)","RSV_genus650",-3.02551368880956e-07,"negative",11,"Firmicutes","Peptostreptococcus","Peptostreptococcus"
"demoWAS","none","AGE_SQUARED","Age squared (RIDAGEYR²)","RSV_genus750",-2.95353455611182e-07,"negative",12,"Fusobacteria","Streptobacillus","Streptobacillus"
"demoWAS","none","AGE_SQUARED","Age squared (RIDAGEYR²)","RSV_genus499",-2.53246888423438e-07,"negative",13,"Firmicutes","Abiotrophia","Abiotrophia"
"demoWAS","none","AGE_SQUARED","Age squared (RIDAGEYR²)","RSV_genus993",-2.08887676772676e-07,"negative",14,"Proteobacteria","Lautropia","Lautropia"
"demoWAS","none","AGE_SQUARED","Age squared (RIDAGEYR²)","RSV_genus261",-1.54662746179084e-07,"negative",15,"Bacteroidetes","Prevotella_2","Prevotella"
"demoWAS","none","RIAGENDR","Gender of the sample person","RSV_genus530",0.0176684235739716,"positive",1,"Firmicutes","Streptococcus","Streptococcus"
"demoWAS","none","RIAGENDR","Gender of the sample person","RSV_genus253",-0.00218216541296256,"negative",1,"Bacteroidetes","Porphyromonas","Porphyromonas"
"demoWAS","none","RIAGENDR","Gender of the sample person","RSV_genus193",-0.00117010338856014,"negative",2,"Actinobacteria","Atopobium","Atopobium"
"demoWAS","none","RIAGENDR","Gender of the sample person","RSV_genus1307",-0.00109225433232266,"negative",3,"Spirochaetae","Treponema_2","Treponema"
"demoWAS","none","RIAGENDR","Gender of the sample person","RSV_genus731",-0.000919610350522736,"negative",4,"Firmicutes","Megasphaera","Megasphaera"
"demoWAS","none","RIAGENDR","Gender of the sample person","RSV_genus568",-0.000801620778772266,"negative",5,"Firmicutes","Parvimonas","Parvimonas"
"demoWAS","none","RIAGENDR","Gender of the sample person","RSV_genus631",-0.000539279403717832,"negative",6,"Firmicutes","Stomatobaculum","Stomatobaculum"
"demoWAS","none","RIAGENDR","Gender of the sample person","RSV_genus646",-0.000522178706391718,"negative",7,"Firmicutes","Filifactor","Filifactor"
"demoWAS","none","RIAGENDR","Gender of the sample person","RSV_genus627",-0.000509989731138116,"negative",8,"Firmicutes","Oribacterium","Oribacterium"
"demoWAS","none","RIAGENDR","Gender of the sample person","RSV_genus716",-0.000487173835702891,"negative",9,"Firmicutes","Solobacterium","Solobacterium"
"demoWAS","none","RIAGENDR","Gender of the sample person","RSV_genus580",-0.000428595572900917,"negative",10,"Firmicutes","Mogibacterium","Mogibacterium"
"demoWAS","none","RIAGENDR","Gender of the sample person","RSV_genus604",-0.000367470194310037,"negative",11,"Firmicutes","Lachnoanaerobaculum","Lachnoanaerobaculum"
"demoWAS","none","RIAGENDR","Gender of the sample person","RSV_genus583",-0.00032159906011089,"negative",12,"Firmicutes","Eubacterium","Eubacterium"
"demoWAS","none","RIAGENDR","Gender of the sample person","RSV_genus683",-0.000241417497917156,"negative",13,"Firmicutes","Ruminococcaceae_UCG-014","Ruminococcaceae"
"demoWAS","none","RIAGENDR","Gender of the sample person","RSV_genus579",-0.00023668047626669,"negative",14,"Firmicutes","Incertae_Sedis",NA
"demoWAS","none","RIAGENDR","Gender of the sample person","RSV_genus582",-0.00022224551799209,"negative",15,"Firmicutes","Eubacterium","Eubacterium"
"demoWAS","none","INDFMPIR","A ratio of family income to poverty threshold","RSV_genus1063",0.00180552251268173,"positive",1,"Proteobacteria","Neisseria","Neisseria"
"demoWAS","none","INDFMPIR","A ratio of family income to poverty threshold","RSV_genus746",0.000779888475178706,"positive",2,"Fusobacteria","Leptotrichia","Leptotrichia"
"demoWAS","none","INDFMPIR","A ratio of family income to poverty threshold","RSV_genus262",0.000462845382944451,"positive",3,"Bacteroidetes","Prevotella_6","Prevotella"
"demoWAS","none","INDFMPIR","A ratio of family income to poverty threshold","RSV_genus1234",0.000153625534824063,"positive",4,"Proteobacteria","Mannheimia","Mannheimia"
"demoWAS","none","INDFMPIR","A ratio of family income to poverty threshold","RSV_genus1061",5.80259043304299e-05,"positive",5,"Proteobacteria","Kingella","Kingella"
"demoWAS","none","INDFMPIR","A ratio of family income to poverty threshold","RSV_genus253",-0.00117623376805281,"negative",1,"Bacteroidetes","Porphyromonas","Porphyromonas"
"demoWAS","none","INDFMPIR","A ratio of family income to poverty threshold","RSV_genus742",-0.000886833684739586,"negative",2,"Fusobacteria","Fusobacterium","Fusobacterium"
"demoWAS","none","INDFMPIR","A ratio of family income to poverty threshold","RSV_genus256",-0.000869833635128773,"negative",3,"Bacteroidetes","Alloprevotella","Alloprevotella"
"demoWAS","none","INDFMPIR","A ratio of family income to poverty threshold","RSV_genus519",-0.000859950973502684,"negative",4,"Firmicutes","Lactobacillus","Lactobacillus"
"demoWAS","none","INDFMPIR","A ratio of family income to poverty threshold","RSV_genus1307",-0.000700411522260451,"negative",5,"Spirochaetae","Treponema_2","Treponema"
"demoWAS","none","INDFMPIR","A ratio of family income to poverty threshold","RSV_genus259",-0.000552232813487966,"negative",6,"Bacteroidetes","Prevotella","Prevotella"
"demoWAS","none","INDFMPIR","A ratio of family income to poverty threshold","RSV_genus1229",-0.000446747198603818,"negative",7,"Proteobacteria","Aggregatibacter","Aggregatibacter"
"demoWAS","none","INDFMPIR","A ratio of family income to poverty threshold","RSV_genus568",-0.000328898064711022,"negative",8,"Firmicutes","Parvimonas","Parvimonas"
"demoWAS","none","INDFMPIR","A ratio of family income to poverty threshold","RSV_genus646",-0.000265576150956386,"negative",9,"Firmicutes","Filifactor","Filifactor"
"demoWAS","none","INDFMPIR","A ratio of family income to poverty threshold","RSV_genus650",-0.000243255859657037,"negative",10,"Firmicutes","Peptostreptococcus","Peptostreptococcus"
"demoWAS","none","INDFMPIR","A ratio of family income to poverty threshold","RSV_genus729",-0.000181652628133072,"negative",11,"Firmicutes","Dialister","Dialister"
"demoWAS","none","INDFMPIR","A ratio of family income to poverty threshold","RSV_genus750",-0.000159297126347141,"negative",12,"Fusobacteria","Streptobacillus","Streptobacillus"
"demoWAS","none","INDFMPIR","A ratio of family income to poverty threshold","RSV_genus582",-0.000124735347290309,"negative",13,"Firmicutes","Eubacterium","Eubacterium"
"demoWAS","none","INDFMPIR","A ratio of family income to poverty threshold","RSV_genus579",-0.00010096631277872,"negative",14,"Firmicutes","Incertae_Sedis",NA
"demoWAS","none","INDFMPIR","A ratio of family income to poverty threshold","RSV_genus726",-9.36167991667562e-05,"negative",15,"Firmicutes","Anaeroglobus","Anaeroglobus"
"demoWAS","none","EDUCATION_LESS9","Edu: <9th grade (DMDEDUC2=1)","RSV_genus253",0.00386078203746221,"positive",1,"Bacteroidetes","Porphyromonas","Porphyromonas"
"demoWAS","none","EDUCATION_LESS9","Edu: <9th grade (DMDEDUC2=1)","RSV_genus1229",0.00259174933526877,"positive",2,"Proteobacteria","Aggregatibacter","Aggregatibacter"
"demoWAS","none","EDUCATION_LESS9","Edu: <9th grade (DMDEDUC2=1)","RSV_genus1228",0.0025267236078456,"positive",3,"Proteobacteria","Actinobacillus","Actinobacillus"
"demoWAS","none","EDUCATION_LESS9","Edu: <9th grade (DMDEDUC2=1)","RSV_genus644",0.000267458816830651,"positive",4,"Firmicutes","Peptococcus","Peptococcus"
"demoWAS","none","EDUCATION_LESS9","Edu: <9th grade (DMDEDUC2=1)","RSV_genus262",-0.0014162952520618,"negative",1,"Bacteroidetes","Prevotella_6","Prevotella"
"demoWAS","none","EDUCATION_LESS9","Edu: <9th grade (DMDEDUC2=1)","RSV_genus51",-0.000680313318492213,"negative",2,"Actinobacteria","Scardovia","Scardovia"
"demoWAS","none","EDUCATION_LESS9","Edu: <9th grade (DMDEDUC2=1)","RSV_genus627",-0.000537593656869167,"negative",3,"Firmicutes","Oribacterium","Oribacterium"
"demoWAS","none","EDUCATION_LESS9","Edu: <9th grade (DMDEDUC2=1)","RSV_genus1133",-0.00048964107407931,"negative",4,"Proteobacteria","Campylobacter","Campylobacter"
"demoWAS","none","EDUCATION_LESS9","Edu: <9th grade (DMDEDUC2=1)","RSV_genus726",-0.000292707255923006,"negative",5,"Firmicutes","Anaeroglobus","Anaeroglobus"
"demoWAS","none","EDUCATION_LESS9","Edu: <9th grade (DMDEDUC2=1)","RSV_genus736",-0.000288893081590123,"negative",6,"Firmicutes","Selenomonas_3","Selenomonas"
"demoWAS","none","EDUCATION_LESS9","Edu: <9th grade (DMDEDUC2=1)","RSV_genus1061",-0.000192403093246063,"negative",7,"Proteobacteria","Kingella","Kingella"
"demoWAS","none","EDUCATION_LESS9","Edu: <9th grade (DMDEDUC2=1)","RSV_genus44",-0.000183650872658903,"negative",8,"Actinobacteria","Alloscardovia","Alloscardovia"
"demoWAS","none","EDUCATION_LESS9","Edu: <9th grade (DMDEDUC2=1)","RSV_genus698",-0.000160347436061288,"negative",9,"Firmicutes","Bulleidia","Bulleidia"
"demoWAS","none","EDUCATION_LESS9","Edu: <9th grade (DMDEDUC2=1)","RSV_genus737",-4.45077047416534e-05,"negative",10,"Firmicutes","Selenomonas_4","Selenomonas"
"demoWAS","none","EDUCATION_9_11","Edu: 9–11th grade (DMDEDUC2=2)","RSV_genus253",0.00283063550456254,"positive",1,"Bacteroidetes","Porphyromonas","Porphyromonas"
"demoWAS","none","EDUCATION_9_11","Edu: 9–11th grade (DMDEDUC2=2)","RSV_genus1307",0.00102885287330608,"positive",2,"Spirochaetae","Treponema_2","Treponema"
"demoWAS","none","EDUCATION_9_11","Edu: 9–11th grade (DMDEDUC2=2)","RSV_genus568",0.000656960707998616,"positive",3,"Firmicutes","Parvimonas","Parvimonas"
"demoWAS","none","EDUCATION_9_11","Edu: 9–11th grade (DMDEDUC2=2)","RSV_genus646",0.000416982959833105,"positive",4,"Firmicutes","Filifactor","Filifactor"
"demoWAS","none","EDUCATION_9_11","Edu: 9–11th grade (DMDEDUC2=2)","RSV_genus582",0.000323220559280736,"positive",5,"Firmicutes","Eubacterium","Eubacterium"
"demoWAS","none","EDUCATION_9_11","Edu: 9–11th grade (DMDEDUC2=2)","RSV_genus698",0.000163362907183673,"positive",6,"Firmicutes","Bulleidia","Bulleidia"
"demoWAS","none","EDUCATION_9_11","Edu: 9–11th grade (DMDEDUC2=2)","RSV_genus555",8.19245959148543e-05,"positive",7,"Firmicutes","Defluviitaleaceae_UCG-011","Defluviitaleaceae"
"demoWAS","none","EDUCATION_9_11","Edu: 9–11th grade (DMDEDUC2=2)","RSV_genus196",3.44091652919978e-05,"positive",8,"Actinobacteria","Cryptobacterium","Cryptobacterium"
"demoWAS","none","EDUCATION_9_11","Edu: 9–11th grade (DMDEDUC2=2)","RSV_genus600",6.77265381568251e-06,"positive",9,"Firmicutes","Howardella","Howardella"
"demoWAS","none","EDUCATION_9_11","Edu: 9–11th grade (DMDEDUC2=2)","RSV_genus1063",-0.00343535560520939,"negative",1,"Proteobacteria","Neisseria","Neisseria"
"demoWAS","none","EDUCATION_9_11","Edu: 9–11th grade (DMDEDUC2=2)","RSV_genus627",-0.000558766521999162,"negative",2,"Firmicutes","Oribacterium","Oribacterium"
"demoWAS","none","EDUCATION_9_11","Edu: 9–11th grade (DMDEDUC2=2)","RSV_genus1054",-3.58614508409929e-05,"negative",3,"Proteobacteria","Alysiella","Alysiella"
"demoWAS","none","EDUCATION_AA","Edu: AA/some college (DMDEDUC2=4)","RSV_genus993",-0.000205152550104969,"negative",1,"Proteobacteria","Lautropia","Lautropia"
"demoWAS","none","EDUCATION_COLLEGEGRAD","Edu: college grad./above (DMDEDUC2=5)","RSV_genus1063",0.00676108549054987,"positive",1,"Proteobacteria","Neisseria","Neisseria"
"demoWAS","none","EDUCATION_COLLEGEGRAD","Edu: college grad./above (DMDEDUC2=5)","RSV_genus1233",0.00673751111835781,"positive",2,"Proteobacteria","Haemophilus","Haemophilus"
"demoWAS","none","EDUCATION_COLLEGEGRAD","Edu: college grad./above (DMDEDUC2=5)","RSV_genus746",0.00266332137118592,"positive",3,"Fusobacteria","Leptotrichia","Leptotrichia"
"demoWAS","none","EDUCATION_COLLEGEGRAD","Edu: college grad./above (DMDEDUC2=5)","RSV_genus319",0.000757975052068819,"positive",4,"Bacteroidetes","Capnocytophaga","Capnocytophaga"
"demoWAS","none","EDUCATION_COLLEGEGRAD","Edu: college grad./above (DMDEDUC2=5)","RSV_genus627",0.000544319455999929,"positive",5,"Firmicutes","Oribacterium","Oribacterium"
"demoWAS","none","EDUCATION_COLLEGEGRAD","Edu: college grad./above (DMDEDUC2=5)","RSV_genus1061",0.000257113714253332,"positive",6,"Proteobacteria","Kingella","Kingella"
"demoWAS","none","EDUCATION_COLLEGEGRAD","Edu: college grad./above (DMDEDUC2=5)","RSV_genus519",-0.00374981637888662,"negative",1,"Firmicutes","Lactobacillus","Lactobacillus"
"demoWAS","none","EDUCATION_COLLEGEGRAD","Edu: college grad./above (DMDEDUC2=5)","RSV_genus253",-0.00357847262305105,"negative",2,"Bacteroidetes","Porphyromonas","Porphyromonas"
"demoWAS","none","EDUCATION_COLLEGEGRAD","Edu: college grad./above (DMDEDUC2=5)","RSV_genus1307",-0.0018943759595502,"negative",3,"Spirochaetae","Treponema_2","Treponema"
"demoWAS","none","EDUCATION_COLLEGEGRAD","Edu: college grad./above (DMDEDUC2=5)","RSV_genus193",-0.00128819413536132,"negative",4,"Actinobacteria","Atopobium","Atopobium"
"demoWAS","none","EDUCATION_COLLEGEGRAD","Edu: college grad./above (DMDEDUC2=5)","RSV_genus568",-0.000982134117457764,"negative",5,"Firmicutes","Parvimonas","Parvimonas"
"demoWAS","none","EDUCATION_COLLEGEGRAD","Edu: college grad./above (DMDEDUC2=5)","RSV_genus1229",-0.000975480220797498,"negative",6,"Proteobacteria","Aggregatibacter","Aggregatibacter"
"demoWAS","none","EDUCATION_COLLEGEGRAD","Edu: college grad./above (DMDEDUC2=5)","RSV_genus646",-0.000700766175124297,"negative",7,"Firmicutes","Filifactor","Filifactor"
"demoWAS","none","EDUCATION_COLLEGEGRAD","Edu: college grad./above (DMDEDUC2=5)","RSV_genus45",-0.000478583010398519,"negative",8,"Actinobacteria","Bifidobacterium","Bifidobacterium"
"demoWAS","none","EDUCATION_COLLEGEGRAD","Edu: college grad./above (DMDEDUC2=5)","RSV_genus750",-0.000464152035773951,"negative",9,"Fusobacteria","Streptobacillus","Streptobacillus"
"demoWAS","none","EDUCATION_COLLEGEGRAD","Edu: college grad./above (DMDEDUC2=5)","RSV_genus582",-0.000399132120908149,"negative",10,"Firmicutes","Eubacterium","Eubacterium"
"demoWAS","none","EDUCATION_COLLEGEGRAD","Edu: college grad./above (DMDEDUC2=5)","RSV_genus579",-0.000356016316526723,"negative",11,"Firmicutes","Incertae_Sedis",NA
"demoWAS","none","EDUCATION_COLLEGEGRAD","Edu: college grad./above (DMDEDUC2=5)","RSV_genus726",-0.00032402412758214,"negative",12,"Firmicutes","Anaeroglobus","Anaeroglobus"
"demoWAS","none","EDUCATION_COLLEGEGRAD","Edu: college grad./above (DMDEDUC2=5)","RSV_genus1322",-0.000302831109900857,"negative",13,"Tenericutes","Mycoplasma","Mycoplasma"
"demoWAS","none","EDUCATION_COLLEGEGRAD","Edu: college grad./above (DMDEDUC2=5)","RSV_genus1309",-0.000235470532249385,"negative",14,"Synergistetes","Fretibacterium","Fretibacterium"
"demoWAS","none","EDUCATION_COLLEGEGRAD","Edu: college grad./above (DMDEDUC2=5)","RSV_genus255",-0.000218532541784711,"negative",15,"Bacteroidetes","Tannerella","Tannerella"
"demoWAS","none","ETHNICITY_MEXICAN","Mexican American (RIDRETH1=1)","RSV_genus1233",0.0134966499904062,"positive",1,"Proteobacteria","Haemophilus","Haemophilus"
"demoWAS","none","ETHNICITY_MEXICAN","Mexican American (RIDRETH1=1)","RSV_genus253",0.00656453973057405,"positive",2,"Bacteroidetes","Porphyromonas","Porphyromonas"
"demoWAS","none","ETHNICITY_MEXICAN","Mexican American (RIDRETH1=1)","RSV_genus256",0.00519000973716993,"positive",3,"Bacteroidetes","Alloprevotella","Alloprevotella"
"demoWAS","none","ETHNICITY_MEXICAN","Mexican American (RIDRETH1=1)","RSV_genus742",0.00477589705083336,"positive",4,"Fusobacteria","Fusobacterium","Fusobacterium"
"demoWAS","none","ETHNICITY_MEXICAN","Mexican American (RIDRETH1=1)","RSV_genus259",0.00358462940544142,"positive",5,"Bacteroidetes","Prevotella","Prevotella"
"demoWAS","none","ETHNICITY_MEXICAN","Mexican American (RIDRETH1=1)","RSV_genus1229",0.00289639080954779,"positive",6,"Proteobacteria","Aggregatibacter","Aggregatibacter"
"demoWAS","none","ETHNICITY_MEXICAN","Mexican American (RIDRETH1=1)","RSV_genus1228",0.00233449775740006,"positive",7,"Proteobacteria","Actinobacillus","Actinobacillus"
"demoWAS","none","ETHNICITY_MEXICAN","Mexican American (RIDRETH1=1)","RSV_genus1307",0.00231921152916593,"positive",8,"Spirochaetae","Treponema_2","Treponema"
"demoWAS","none","ETHNICITY_MEXICAN","Mexican American (RIDRETH1=1)","RSV_genus650",0.00201546661365053,"positive",9,"Firmicutes","Peptostreptococcus","Peptostreptococcus"
"demoWAS","none","ETHNICITY_MEXICAN","Mexican American (RIDRETH1=1)","RSV_genus646",0.00113724598247552,"positive",10,"Firmicutes","Filifactor","Filifactor"
"demoWAS","none","ETHNICITY_MEXICAN","Mexican American (RIDRETH1=1)","RSV_genus583",0.000754312484249991,"positive",11,"Firmicutes","Eubacterium","Eubacterium"
"demoWAS","none","ETHNICITY_MEXICAN","Mexican American (RIDRETH1=1)","RSV_genus644",0.000499774977290352,"positive",12,"Firmicutes","Peptococcus","Peptococcus"
"demoWAS","none","ETHNICITY_MEXICAN","Mexican American (RIDRETH1=1)","RSV_genus580",0.000360931758990979,"positive",13,"Firmicutes","Mogibacterium","Mogibacterium"
"demoWAS","none","ETHNICITY_MEXICAN","Mexican American (RIDRETH1=1)","RSV_genus255",0.000324185861675379,"positive",14,"Bacteroidetes","Tannerella","Tannerella"
"demoWAS","none","ETHNICITY_MEXICAN","Mexican American (RIDRETH1=1)","RSV_genus579",0.000309147658229188,"positive",15,"Firmicutes","Incertae_Sedis",NA
"demoWAS","none","ETHNICITY_MEXICAN","Mexican American (RIDRETH1=1)","RSV_genus530",-0.0207680569940152,"negative",1,"Firmicutes","Streptococcus","Streptococcus"
"demoWAS","none","ETHNICITY_MEXICAN","Mexican American (RIDRETH1=1)","RSV_genus135",-0.0198667073539761,"negative",2,"Actinobacteria","Rothia","Rothia"
"demoWAS","none","ETHNICITY_MEXICAN","Mexican American (RIDRETH1=1)","RSV_genus740",-0.00722533364217711,"negative",3,"Firmicutes","Veillonella","Veillonella"
